name,map_label,x_px,y_px,map_x,map_y,grid,region,sector,category,coordinate_source,svg_occurrence,canon,hyperroutes,wookieepedia
"Kalist","Kalist","2143.379","2160.209","-13.642","-202.323","K-12","Deep Core","Sin sector registrado","planet","svg","svg-0708","canon","","https://starwars.fandom.com/wiki/Kalist_VI"
"Zamael","Zamael","2146.913","2229.744","-13.411","-213.257","K-12","Deep Core","Sin sector registrado","planet","catalog","","legends","","https://starwars.fandom.com/wiki/Zamael"
"Lialic","Lialic","2138.879","2206.339","-16.634","-226.839","K-12","Deep Core","Sin sector registrado","planet","svg","svg-0823","legends","","https://starwars.fandom.com/wiki/Lialic"
"Constancia","Constancia","2139.219","2231.089","-14.059","-242.179","K-12","Deep Core","Sin sector registrado","planet","svg","svg-0310","legends","","https://starwars.fandom.com/wiki/Constancia"
"Dulvoyinn","Dulvoyinn","2159.469","2242.339","-3.441","-246.927","K-12","Deep Core","Sin sector registrado","planet","svg","svg-0425","legends","","https://starwars.fandom.com/wiki/Dulvoyinn"
"Tython","Tython","2153.509","1928.459","1.279","-78.258","L-10","Deep Core","Sin sector registrado","planet","svg","svg-1491","canon","","https://starwars.fandom.com/wiki/Tython"
"Had Abbadon","Had Abbadon","2307.969","1928.459","74.369","-78.834","L-10","Deep Core","Sin sector registrado","planet","svg","svg-0582","legends","","https://starwars.fandom.com/wiki/Had_Abbadon"
"Cambria","Cambria","2351.386","1932.583","93.111","-58.448","L-10","Deep Core","Sin sector registrado","planet","catalog","","legends","","https://starwars.fandom.com/wiki/Cambria"
"Vulpter","Vulpter","2276.469","1868.839","58.406","-49.045","L-10","Deep Core","Sin sector registrado","planet","svg","svg-1575","canon","","https://starwars.fandom.com/wiki/Vulpter"
"Besero","Besero","2267.867","1893.655","49.601","-38.168","L-10","Deep Core","Sin sector registrado","planet","catalog","","legends","","https://starwars.fandom.com/wiki/Besero"
"Primus Goluud","Primus Goluud","2235.629","1845.209","36.48","-36.096","L-10","Deep Core","Sin sector registrado","planet","svg","svg-1148","legends","","https://starwars.fandom.com/wiki/Primus_Goluud"
"Empress Teta","Empress Teta","2171.849","1877.839","1.987","-52.137","L-10","Deep Core","Sin sector registrado","planet","svg","svg-0446","canon","Byss Run","https://starwars.fandom.com/wiki/Empress_Teta"
"Iope","Iope","3982.928","2254.011","943.08","-225.899","U-12","Outer Rim","Baxel","planet","catalog","","legends","","https://starwars.fandom.com/wiki/Iope"
"Starswarm Cluster","Starswarm Cluster","2191.383","1897.105","9.756","-39.965","L-10","Deep Core","Sin sector registrado","misc","catalog","","legends","","https://starwars.fandom.com/wiki/Starswarm_Cluster"
"Jerrilek","Jerrilek","2176.392","1866.557","1.946","-24.051","L-10","Deep Core","Sin sector registrado","planet","catalog","","legends","Byss Run","https://starwars.fandom.com/wiki/Jerrilek"
"Tsoss Beacon","Tsoss Beacon","2194.554","2022.531","11.408","-105.307","L-11","Deep Core","Sin sector registrado","planet","catalog","","legends","","https://starwars.fandom.com/wiki/Tsoss_Beacon"
"Eclipse","Eclipse","2357.469","2111.839","99.245","-176.94","L-11","Deep Core","Sin sector registrado","planet","svg","svg-0435","legends","","https://starwars.fandom.com/wiki/Eclipse"
"Crystan","Crystan","2198.389","2294.294","13.406","-246.885","L-12","Deep Core","Sin sector registrado","planet","catalog","","legends","","https://starwars.fandom.com/wiki/Crystan"
"Khomm","Khomm","2181.629","2262.959","12.507","-255.138","L-12","Deep Core","Sin sector registrado","planet","svg","svg-0745","legends","","https://starwars.fandom.com/wiki/Khomm"
"Dremulae","Dremulae","2367.997","1961.526","101.765","-73.526","M-10","Deep Core","Sin sector registrado","planet","catalog","","legends","","https://starwars.fandom.com/wiki/Dremulae"
"Ojom","Ojom","2374.009","2085.959","107.856","-163.279","M-11","Deep Core","Sin sector registrado","planet","svg","svg-1039","canon","","https://starwars.fandom.com/wiki/Ojom"
"Ottabesk","Ottabesk","2376.599","2073.589","112.906","-159.264","M-11","Deep Core","Sin sector registrado","planet","svg","svg-1072","legends","","https://starwars.fandom.com/wiki/Ottabesk"
"Hakassi","Hakassi","2390.143","2113.718","113.302","-152.812","M-11","Deep Core","Sin sector registrado","planet","catalog","","legends","","https://starwars.fandom.com/wiki/Hakassi"
"Ebaq","Ebaq","2376.39","2095.323","106.137","-143.229","M-11","Deep Core","Sin sector registrado","planet","catalog","","legends","","https://starwars.fandom.com/wiki/Ebaq"
"Thoadeye","Thoadeye","2387.849","1988.089","118.939","-112.328","M-11","Deep Core","Sin sector registrado","planet","svg","svg-1428","legends","","https://starwars.fandom.com/wiki/Thoadeye"
"Galactic Center","Galactic Center","2172.656","2093.139","0","-142.091","K-11","Deep Core","Sin sector registrado","planet","catalog","","legends","","https://starwars.fandom.com/wiki/Galactic_Center"
"Kokash","Kokash","1960.917","1946.124","-110.308","-65.502","J-10","Core Worlds","Sin sector registrado","planet","catalog","","legends","","https://starwars.fandom.com/wiki/Kokash"
"Pollillus","Pollillus","1971.599","1904.839","-101.33","-63.89","J-10","Core Worlds","Sin sector registrado","planet","svg","svg-1134","canon","","https://starwars.fandom.com/wiki/Pollillus"
"Osssorck Nebulae","Osssorck Nebulae","1977.651","2332.733","-101.59","-266.91","J-12","Core Worlds","Sin sector registrado","misc","catalog","","legends","","https://starwars.fandom.com/wiki/Osssorck_Nebulae"
"Questal","Questal","1946.649","2345.987","-117.741","-273.815","J-12","Core Worlds","Sin sector registrado","planet","catalog","","canon","","https://starwars.fandom.com/wiki/Questal"
"Kitel Phard","Kitel Phard","1919.849","2335.709","-132.66","-286.761","J-12","Core Worlds","Sin sector registrado","planet","svg","svg-0760","legends","Guu Run","https://starwars.fandom.com/wiki/Kitel_Phard"
"Inysh","Inysh","1940.879","2335.709","-118.605","-295.761","J-12","Core Worlds","Sin sector registrado","planet","svg","svg-0659","legends","","https://starwars.fandom.com/wiki/Inysh"
"Dahrtag","Dahrtag","1969.931","2424.649","-105.612","-314.795","J-13","Core Worlds","Sin sector registrado","planet","catalog","","legends","Guu Run","https://starwars.fandom.com/wiki/Dahrtag"
"Metellos","Metellos","2146.727","1818.033","-13.508","1.228","K-9","Core Worlds","Sin sector registrado","planet","catalog","","legends","","https://starwars.fandom.com/wiki/Metellos"
"Ragoon","Ragoon","2015.763","1789.436","-81.735","16.126","K-9","Core Worlds","Sin sector registrado","planet","catalog","","legends","","https://starwars.fandom.com/wiki/Ragoon"
"Merakai","Merakai","2054.179","1721.942","-61.722","51.288","K-9","Core Worlds","Sin sector registrado","planet","catalog","","legends","","https://starwars.fandom.com/wiki/Merakai"
"Denevar","Denevar","2079.346","1718.867","-48.611","52.89","K-9","Core Worlds","Sin sector registrado","planet","catalog","","legends","","https://starwars.fandom.com/wiki/Denevar"
"Pantolomin","Pantolomin","2098.219","1695.959","-37.227","44.441","K-9","Core Worlds","Sin sector registrado","planet","svg","svg-1091","legends","Namadii Corridor","https://starwars.fandom.com/wiki/Pantolomin"
"Dachat","Dachat","2058.999","1747.679","-59.211","37.88","K-9","Core Worlds","Sin sector registrado","planet","catalog","","legends","","https://starwars.fandom.com/wiki/Dachat"
"Voon","Voon","2098.379","1716.959","-37.112","36.844","K-9","Core Worlds","Sin sector registrado","planet","svg","svg-1569","legends","","https://starwars.fandom.com/wiki/Voon"
"Hyabb","Hyabb","2082.861","1760.494","-46.78","31.204","K-9","Core Worlds","Sin sector registrado","planet","catalog","","legends","","https://starwars.fandom.com/wiki/Hyabb"
"Farrfin","Farrfin","2124.355","1720.515","-25.163","52.031","K-9","Core Worlds","Sin sector registrado","planet","catalog","","legends","","https://starwars.fandom.com/wiki/Farrfin"
"Twith","Twith","2117.948","1738.632","-28.501","42.593","K-9","Core Worlds","Sin sector registrado","planet","catalog","","legends","Namadii Corridor","https://starwars.fandom.com/wiki/Twith"
"Scipio","Scipio","2021.199","897.033","-64.533","481.957","K-5","Outer Rim","Albarrio","planet","svg","svg-1264","canon","","https://starwars.fandom.com/wiki/Scipio"
"Galvoni","Galvoni","2143.798","1763.597","-15.034","29.587","K-9","Core Worlds","Sin sector registrado","planet","catalog","","legends","Namadii Corridor","https://starwars.fandom.com/wiki/Galvoni"
"Weerden","Weerden","2146.228","1785.693","-13.768","18.076","K-9","Core Worlds","Sin sector registrado","planet","catalog","","legends","Namadii Corridor","https://starwars.fandom.com/wiki/Weerden"
"Tanjay","Tanjay","2159.043","1797.844","-7.092","11.746","K-9","Core Worlds","Sin sector registrado","planet","catalog","","legends","Namadii Corridor","https://starwars.fandom.com/wiki/Tanjay"
"Mamendin","Mamendin","2154.845","1707.701","-9.279","58.707","K-9","Core Worlds","Sin sector registrado","planet","catalog","","legends","","https://starwars.fandom.com/wiki/Mamendin"
"Tamban","Tamban","1989.859","1907.679","-95.23","-45.474","K-10","Core Worlds","Sin sector registrado","planet","catalog","","legends","","https://starwars.fandom.com/wiki/Tamban"
"Aradia","Aradia","1999.359","1887.574","-90.281","-35","K-10","Core Worlds","Sin sector registrado","planet","catalog","","legends","","https://starwars.fandom.com/wiki/Aradia"
"Cal-Seti","Cal-Seti","2023.029","1837.339","-73.936","-34.194","K-10","Core Worlds","Sin sector registrado","planet","svg","svg-0236","legends","","https://starwars.fandom.com/wiki/Cal-Seti"
"N'Zoth","N’Zoth","1985.099","1892.459","-95.69","-57.768","K-10","Core Worlds","Sin sector registrado","planet","svg","svg-1025","legends","","https://starwars.fandom.com/wiki/N'Zoth"
"Fresia","Fresia","2050.009","1831.709","-58.167","-29.475","K-10","Core Worlds","Sin sector registrado","planet","svg","svg-0504","legends","","https://starwars.fandom.com/wiki/Fresia"
"Galand","Galand","2069.84","1865.922","-53.563","-23.72","K-10","Core Worlds","Sin sector registrado","planet","catalog","","legends","","https://starwars.fandom.com/wiki/Galand"
"Alland","Alland","2084.423","1848.026","-45.966","-14.397","K-10","Core Worlds","Sin sector registrado","planet","catalog","","legends","","https://starwars.fandom.com/wiki/Alland"
"Worru'du","Worru'du","2098.562","1854.654","-38.6","-17.85","K-10","Core Worlds","Sin sector registrado","planet","catalog","","legends","","https://starwars.fandom.com/wiki/Worru'du"
"Salliche","Salliche","2094.539","1813.969","-25.709","-18.54","K-10","Core Worlds","Sin sector registrado","planet","svg","svg-1247","legends","","https://starwars.fandom.com/wiki/Salliche"
"Norkronia","Norkronia","2108.506","1833.499","-33.42","-6.829","K-10","Core Worlds","Sin sector registrado","planet","catalog","","legends","","https://starwars.fandom.com/wiki/Norkronia"
"Stassia","Stassia","2147.169","1842.337","-13.278","-11.433","K-10","Core Worlds","Sin sector registrado","planet","catalog","","legends","","https://starwars.fandom.com/wiki/Stassia"
"Foerost","Foerost","2172.578","1834.603","-0.041","-7.404","K-10","Core Worlds","Sin sector registrado","planet","catalog","","canon","Byss Run","https://starwars.fandom.com/wiki/Foerost"
"Ruan","Ruan","2172.578","1846.976","-0.041","-13.85","K-10","Core Worlds","Sin sector registrado","planet","catalog","","legends","Byss Run","https://starwars.fandom.com/wiki/Ruan"
"Galantos","Galantos","1991.113","1927.606","-94.577","-55.855","K-10","Core Worlds","Sin sector registrado","planet","catalog","","legends","","https://starwars.fandom.com/wiki/Galantos"
"J't'p'tan","J't'p'tan","1987.22","1928.959","-96.605","-56.56","K-10","Core Worlds","Sin sector registrado","planet","catalog","","legends","","https://starwars.fandom.com/wiki/J't'p'tan"
"Botor","Botor","2157.219","2299.709","-3.862","-270.404","K-12","Core Worlds","Sin sector registrado","planet","svg","svg-0215","canon","","https://starwars.fandom.com/wiki/Botor"
"Thracior","Thracior","2149.668","2350.147","-11.976","-275.982","K-12","Core Worlds","Sin sector registrado","planet","catalog","","legends","","https://starwars.fandom.com/wiki/Thracior"
"Thebeon","Thebeon","2112.316","2394.739","-31.435","-299.213","K-12","Core Worlds","Sin sector registrado","planet","catalog","","legends","","https://starwars.fandom.com/wiki/Thebeon"
"Gerrard","Gerrard","2166.04","2387.167","-3.447","-295.268","K-12","Core Worlds","Sin sector registrado","planet","catalog","","legends","","https://starwars.fandom.com/wiki/Gerrard"
"Daupherm","Daupherm","2126.849","2280.589","-18.489","-267.033","K-12","Core Worlds","Sin sector registrado","planet","svg","svg-0364","legends","","https://starwars.fandom.com/wiki/Daupherm"
"Loedorvia","Loedorvia","1994.099","2240.089","-87.534","-242.868","K-12","Core Worlds","Sin sector registrado","planet","svg","svg-0831","legends","","https://starwars.fandom.com/wiki/Loedorvia"
"Cortina","Cortina","2045.849","2304.209","-60.163","-277.02","K-12","Core Worlds","Sin sector registrado","planet","svg","svg-0316","legends","","https://starwars.fandom.com/wiki/Cortina"
"Abregado-rae","Abregado-rae","2164.145","2428.346","-4.434","-316.721","K-13","Core Worlds","Sin sector registrado","planet","catalog","","canon","Rimma Trade Route | Shipwrights' Trace","https://starwars.fandom.com/wiki/Abregado-rae"
"Dentaal","Dentaal","2164.383","2445.86","-4.31","-325.845","K-13","Core Worlds","Sin sector registrado","planet","catalog","","legends","Rimma Trade Route","https://starwars.fandom.com/wiki/Dentaal"
"Belgaroth","Belgaroth","2138.879","2415.589","-11.955","-334.352","K-13","Core Worlds","Sin sector registrado","planet","svg","svg-0170","legends","","https://starwars.fandom.com/wiki/Belgaroth"
"Steelious","Steelious","2136.93","2442.783","-18.612","-324.242","K-13","Core Worlds","Sin sector registrado","planet","catalog","","legends","","https://starwars.fandom.com/wiki/Steelious"
"Cuvacia","Cuvacia","1993.744","2404.443","-93.206","-304.268","K-13","Core Worlds","Sin sector registrado","planet","catalog","","legends","","https://starwars.fandom.com/wiki/Cuvacia"
"Illodia","Illodia","2032.5","2455.535","-73.016","-330.885","K-13","Core Worlds","Sin sector registrado","planet","catalog","","legends","Guu Run","https://starwars.fandom.com/wiki/Illodia"
"Kidiet Olgo","Kidiet Olgo","2182.903","1702.495","5.338","61.419","L-9","Core Worlds","Sin sector registrado","planet","catalog","","legends","","https://starwars.fandom.com/wiki/Kidiet_Olgo"
"Challon","Challon","2227.161","1721.176","28.395","51.687","L-9","Core Worlds","Sin sector registrado","planet","catalog","","legends","","https://starwars.fandom.com/wiki/Challon"
"Shawken","Shawken","2212.349","1686.959","28.654","44.953","L-9","Core Worlds","Sin sector registrado","planet","svg","svg-1295","legends","","https://starwars.fandom.com/wiki/Shawken"
"Velusia","Velusia","2172.969","1700.089","6.986","35.889","L-9","Core Worlds","Sin sector registrado","planet","svg","svg-1546","canon","","https://starwars.fandom.com/wiki/Velusia"
"Thorgeld","Thorgeld","2196.142","1764.016","12.235","29.369","L-9","Core Worlds","Sin sector registrado","planet","catalog","","legends","","https://starwars.fandom.com/wiki/Thorgeld"
"Thokos","Thokos","2184.212","1787.505","6.02","17.132","L-9","Core Worlds","Sin sector registrado","planet","catalog","","legends","","https://starwars.fandom.com/wiki/Thokos"
"Ralltiir","Ralltiir","2315.519","1736.246","74.426","43.836","L-9","Core Worlds","Sin sector registrado","planet","catalog","","canon","Perlemian Trade Route","https://starwars.fandom.com/wiki/Ralltiir"
"Rhinnal","Rhinnal","2283.219","1699.339","69.362","41.073","L-9","Core Worlds","Sin sector registrado","planet","svg","svg-1200","legends","Perlemian Trade Route","https://starwars.fandom.com/wiki/Rhinnal"
"Esseles","Esseles","2297.403","1746.851","64.988","38.311","L-9","Core Worlds","Sin sector registrado","planet","catalog","","legends","Perlemian Trade Route","https://starwars.fandom.com/wiki/Esseles"
"Brentaal","Brentaal","2278.379","1711.339","60.499","35.894","L-9","Core Worlds","Sin sector registrado","planet","svg","svg-0221","canon","Commenor Run | Hydian Way | Perlemian Trade Route","https://starwars.fandom.com/wiki/Brentaal"
"Chandrila","Chandrila","2265.219","1707.959","55.319","32.556","L-9","Core Worlds","Sin sector registrado","planet","svg","svg-0275","canon","Perlemian Trade Route","https://starwars.fandom.com/wiki/Chandrila"
"Corulag","Corulag","2252.849","1724.839","49.679","29.563","L-9","Core Worlds","Sin sector registrado","planet","svg","svg-0317","canon","Perlemian Trade Route","https://starwars.fandom.com/wiki/Corulag"
"Anaxes","Anaxes","3378.679","1261.909","41.047","24.959","L-9","Core Worlds","Antemeridian","planet","svg","svg-0056","canon","Perlemian Trade Route","https://starwars.fandom.com/wiki/Anaxes"
"Grizmallt","Grizmallt","2227.144","1786.4","28.386","17.708","L-9","Core Worlds","Sin sector registrado","planet","catalog","","canon","Perlemian Trade Route","https://starwars.fandom.com/wiki/Grizmallt"
"Alsakan","Alsakan","2193.219","1756.339","17.221","10.917","L-9","Core Worlds","Sin sector registrado","planet","svg","svg-0047","canon","Perlemian Trade Route","https://starwars.fandom.com/wiki/Alsakan"
"Tepasi","Tepasi","2336.879","1748.459","89.481","18.076","L-9","Core Worlds","Sin sector registrado","planet","svg","svg-1412","canon","Commenor Run","https://starwars.fandom.com/wiki/Tepasi"
"Skako","Skako","2301.219","1755.209","76.187","10.307","L-9","Core Worlds","Sin sector registrado","planet","svg","svg-1320","canon","Hydian Way","https://starwars.fandom.com/wiki/Skako"
"Basilisk","Basilisk","2289.602","1807.211","60.924","6.866","L-9","Core Worlds","Sin sector registrado","planet","catalog","","legends","","https://starwars.fandom.com/wiki/Basilisk"
"Spira","Spira","2181.629","1808.089","8.67","-16.777","L-10","Core Worlds","Sin sector registrado","planet","svg","svg-1345","legends","","https://starwars.fandom.com/wiki/Spira"
"Yulant","Yulant","2238.728","1851.581","34.421","-16.249","L-10","Core Worlds","Sin sector registrado","planet","catalog","","legends","","https://starwars.fandom.com/wiki/Yulant"
"Aargau","Aargau","2244.629","1818.209","40.205","-19.875","L-10","Core Worlds","Sin sector registrado","planet","svg","svg-0004","canon","","https://starwars.fandom.com/wiki/Aargau"
"Broest","Broest","2298.052","1867.323","65.326","-24.45","L-10","Core Worlds","Sin sector registrado","planet","catalog","","canon","","https://starwars.fandom.com/wiki/Broest"
"Ixtlar","Ixtlar","2243.867","1828.257","37.098","-4.098","L-10","Core Worlds","Sin sector registrado","planet","catalog","","legends","Corellian Run","https://starwars.fandom.com/wiki/Ixtlar"
"Vultar","Vultar","2297.059","1830.576","64.809","-5.306","L-10","Core Worlds","Sin sector registrado","planet","catalog","","legends","","https://starwars.fandom.com/wiki/Vultar"
"Wukkar","Wukkar","2273.879","1801.339","56.694","-12.471","L-10","Core Worlds","Sin sector registrado","planet","svg","svg-1597","legends","Corellian Run","https://starwars.fandom.com/wiki/Wukkar"
"Kailor V","Kailor V","2305.344","1858.912","69.125","-20.068","L-10","Core Worlds","Sin sector registrado","planet","catalog","","legends","Corellian Run","https://starwars.fandom.com/wiki/Kailor_V"
"Palawa","Palawa","2350.305","1849.577","92.548","-15.205","L-10","Core Worlds","Sin sector registrado","planet","catalog","","legends","","https://starwars.fandom.com/wiki/Palawa"
"Xorth","Xorth","2331.029","1874.834","82.506","-28.363","L-10","Core Worlds","Sin sector registrado","planet","catalog","","legends","Corellian Run","https://starwars.fandom.com/wiki/Xorth"
"Gama","Gama","2333.334","2293.215","83.707","-246.323","L-12","Core Worlds","Sin sector registrado","planet","catalog","","legends","","https://starwars.fandom.com/wiki/Gama"
"Balosar","Balosar","2304.429","2260.709","67.596","-251.748","L-12","Core Worlds","Sin sector registrado","planet","svg","svg-0132","canon","","https://starwars.fandom.com/wiki/Balosar"
"Lansono","Lansono","2359.189","2353.92","97.176","-277.948","L-12","Core Worlds","Sin sector registrado","planet","catalog","","legends","","https://starwars.fandom.com/wiki/Lansono"
"Lujo","Lujo","2245.759","2276.089","49.337","-264.139","L-12","Core Worlds","Sin sector registrado","planet","svg","svg-0845","legends","","https://starwars.fandom.com/wiki/Lujo"
"Shulxi","Shulxi","2291.264","2339.484","61.79","-270.427","L-12","Core Worlds","Sin sector registrado","planet","catalog","","legends","","https://starwars.fandom.com/wiki/Shulxi"
"Azbrian","Azbrian","2291.028","2366.701","61.667","-284.606","L-12","Core Worlds","Sin sector registrado","planet","catalog","","legends","","https://starwars.fandom.com/wiki/Azbrian"
"Thomork","Thomork","2196.259","2280.589","19.194","-266.62","L-12","Core Worlds","Sin sector registrado","planet","svg","svg-1431","legends","","https://starwars.fandom.com/wiki/Thomork"
"Frego","Frego","2229.019","2408.591","29.363","-306.429","L-13","Core Worlds","Sin sector registrado","planet","catalog","","legends","","https://starwars.fandom.com/wiki/Frego"
"Iphigin","Iphigin","2258.841","2449.772","44.899","-327.883","L-13","Core Worlds","Sin sector registrado","planet","catalog","","legends","","https://starwars.fandom.com/wiki/Iphigin"
"Andara","Andara","2333.679","2369.459","97.669","-315.8","L-13","Core Worlds","Sin sector registrado","planet","svg","svg-0058","legends","","https://starwars.fandom.com/wiki/Andara"
"Eamus","Eamus","2182.843","2404.443","5.307","-304.268","L-13","Core Worlds","Sin sector registrado","planet","catalog","","legends","","https://starwars.fandom.com/wiki/Eamus"
"Plexis","Plexis","2189.509","2363.839","8.759","-311.173","L-13","Core Worlds","Sin sector registrado","planet","svg","svg-1129","canon","","https://starwars.fandom.com/wiki/Plexis"
"Diamal","Diamal","2192.072","2477.811","10.115","-342.49","L-13","Core Worlds","Sin sector registrado","planet","catalog","","legends","","https://starwars.fandom.com/wiki/Diamal"
"Corann","Corann","2367.241","1752.802","101.371","35.211","M-9","Core Worlds","Sin sector registrado","planet","catalog","","legends","","https://starwars.fandom.com/wiki/Corann"
"Korfo","Korfo","2377.476","1804.551","106.703","8.252","M-9","Core Worlds","Sin sector registrado","planet","catalog","","legends","Commenor Run","https://starwars.fandom.com/wiki/Korfo"
"Caamas","Caamas","2377.379","1767.589","113.696","7.086","M-9","Core Worlds","Sin sector registrado","planet","svg","svg-0232","legends","Commenor Run","https://starwars.fandom.com/wiki/Caamas"
"Aldraig","Aldraig","2373.837","1858.526","104.807","-19.867","M-10","Core Worlds","Sin sector registrado","planet","catalog","","legends","Hydian Way","https://starwars.fandom.com/wiki/Aldraig"
"Alderaan","Alderaan","2413.379","1793.459","129.496","-5.968","M-10","Core Worlds","Sin sector registrado","planet","svg","svg-0036","canon","Commenor Run","https://starwars.fandom.com/wiki/Alderaan"
"Vuma","Vuma","2388.893","1934.015","112.651","-59.194","M-10","Core Worlds","Sin sector registrado","planet","catalog","","legends","Corellian Run","https://starwars.fandom.com/wiki/Vuma"
"Ator","Ator","2378.952","1961.854","107.472","-73.697","M-10","Core Worlds","Sin sector registrado","planet","catalog","","canon","","https://starwars.fandom.com/wiki/Ator"
"Leria Kerlsil","Leria Kerlsil","2413.197","1979.973","125.312","-83.136","M-10","Core Worlds","Sin sector registrado","planet","catalog","","legends","Corellian Run","https://starwars.fandom.com/wiki/Leria_Kerlsil"
"Tyed Kant","Tyed Kant","2434.929","1820.459","145.455","-23.628","M-10","Core Worlds","Sin sector registrado","planet","svg","svg-1488","legends","Commenor Run","https://starwars.fandom.com/wiki/Tyed_Kant"
"Demophon","Demophon","2401.708","1884.083","119.327","-33.181","M-10","Core Worlds","Sin sector registrado","planet","catalog","","legends","Hydian Way","https://starwars.fandom.com/wiki/Demophon"
"Glithnos","Glithnos","2415.406","1900.212","126.463","-41.584","M-10","Core Worlds","Sin sector registrado","planet","catalog","","legends","Hydian Way","https://starwars.fandom.com/wiki/Glithnos"
"Fedalle","Fedalle","2420.469","1881.209","139.815","-54.475","M-10","Core Worlds","Sin sector registrado","planet","svg","svg-0479","legends","Fedalle Run | Hydian Way","https://starwars.fandom.com/wiki/Fedalle"
"Raxxa","Raxxa","2492.957","1926.946","166.864","-55.511","M-10","Core Worlds","Sin sector registrado","planet","catalog","","legends","Fedalle Run","https://starwars.fandom.com/wiki/Raxxa"
"Kuat","Kuat","2511.599","1893.589","186.813","-59.958","M-10","Core Worlds","Sin sector registrado","planet","svg","svg-0788","canon","Fedalle Run","https://starwars.fandom.com/wiki/Kuat"
"Talravin","Talravin","2464.49","1963.346","152.034","-74.474","M-10","Core Worlds","Sin sector registrado","planet","catalog","","legends","Hydian Way","https://starwars.fandom.com/wiki/Talravin"
"Pria","Pria","2505.253","1981.077","173.27","-83.711","M-10","Core Worlds","Sin sector registrado","planet","catalog","","legends","","https://starwars.fandom.com/wiki/Pria"
"Ruul","Ruul","2460.629","1948.709","143.574","-97.005","M-10","Core Worlds","Sin sector registrado","planet","svg","svg-1230","legends","","https://starwars.fandom.com/wiki/Ruul_(planet)"
"Sarapin","Sarapin","2479.9","1994.003","160.062","-90.445","M-10","Core Worlds","Sin sector registrado","planet","catalog","","legends","Hydian Way","https://starwars.fandom.com/wiki/Sarapin"
"Humbarine","Humbarine","2533.975","2012.229","188.233","-99.94","M-10","Core Worlds","Sin sector registrado","planet","catalog","","legends","Trellent Trade Route","https://starwars.fandom.com/wiki/Humbarine"
"Trellen","Trellen","2468.849","1970.089","164.292","-100.458","M-11","Core Worlds","Sin sector registrado","planet","svg","svg-1469","legends","Hydian Way | Trellent Trade Route","https://starwars.fandom.com/wiki/Trellen"
"Mawan","Mawan","2496.637","2033.771","168.781","-111.163","M-11","Core Worlds","Sin sector registrado","planet","catalog","","legends","Hydian Way","https://starwars.fandom.com/wiki/Mawan"
"Seyugi","Seyugi","2532.207","2051.779","187.312","-120.544","M-11","Core Worlds","Sin sector registrado","planet","catalog","","legends","","https://starwars.fandom.com/wiki/Seyugi"
"Recopia","Recopia","2447.129","2011.709","152.782","-123.766","M-11","Core Worlds","Sin sector registrado","planet","svg","svg-1183","legends","","https://starwars.fandom.com/wiki/Recopia"
"Loretto","Loretto","2512.102","2074.976","176.838","-132.629","M-11","Core Worlds","Sin sector registrado","planet","catalog","","legends","Hydian Way","https://starwars.fandom.com/wiki/Loretto"
"Rendili","Rendili","2474.469","2046.589","163.716","-140.801","M-11","Core Worlds","Sin sector registrado","planet","svg","svg-1192","legends","","https://starwars.fandom.com/wiki/Rendili"
